tipo,bot,deal_id,veredicto,nota
nudge_anomalo,B,1749563,FP,cortesia 'ok gracias' (filtrado en v2)
nudge_anomalo,B,1725778,FP,cortesia (filtrado en v2)
nudge_anomalo,B,1755681,TP,usuario escribio mensaje largo y recibe nudge
nudge_anomalo,B,1714351,TP,dos nudges identicos seguidos
nudge_anomalo,B,1717229,FP,cortesia 'ok' (filtrado en v2)
nudge_anomalo,B,1762814,FP,cortesia 'ok' (filtrado en v2)
nudge_anomalo,B,1720208,TP,usuario respondio tipo y ubicacion y recibe nudge
nudge_anomalo,B,1753050,FP,cortesia 'gracias' (filtrado en v2)
nudge_anomalo,B,1715477,FP,cortesia 'gracias' (filtrado en v2)
nudge_anomalo,B,1760783,FP,cortesia 'ok' (filtrado en v2)
silencio_bot,B,1725487,TP,usuario escribe 'Dime' y no hay respuesta
silencio_bot,B,1711956,FP,cortesia tras el cierre (filtrado en v2)
silencio_bot,B,1731772,TP,usuario responde 'Casa' y solo recibe nudge
silencio_bot,B,1757986,FP,emoji de cortesia (filtrado en v2)
silencio_bot,B,1704803,FP,cortesia de cierre (filtrado en v2)
silencio_bot,B,1706924,FP,autorespuesta de negocio (filtrado en v2)
silencio_bot,B,1744430,TP,usuario responde tipo y solo recibe nudge
silencio_bot,B,1707633,TP,usuario completa la respuesta y solo recibe nudge
silencio_bot,B,1729599,TP,usuario pregunta si pueden hacer oferta y no hay respuesta
silencio_bot,B,1752521,TP,usuario da el ultimo dato y no hay respuesta
intencion_ignorada,B,1733753,TP,pide asesor y gabi sigue pidiendo area
intencion_ignorada,B,1708818,FP,'me equivoque' era correccion (filtrado en v2)
intencion_ignorada,B,1743717,TP,dice que no inicio nada y gabi sigue el guion
intencion_ignorada,B,1704158,FP,'me equivoque' era correccion de antiguedad (filtrado en v2)
intencion_ignorada,B,1707336,TP,reclama por la oferta prometida y gabi sigue pidiendo datos
intencion_ignorada,B,1708303,FP,'me equivoque' suelto (filtrado en v2)
intencion_ignorada,B,1743636,FP,'me equivoque' suelto (filtrado en v2)
intencion_ignorada,B,1724614,TP,pide hablar con asesor y gabi sigue pidiendo datos
intencion_ignorada,B,1702935,TP,dice que no vende departamentos y gabi registra datos
intencion_ignorada,B,1721822,FP,correccion de municipio (filtrado en v2)
loop_repeticion,B,1737612,TP,mensaje de apertura enviado dos veces
loop_repeticion,B,1714615,TP,mensaje de apertura enviado dos veces
loop_repeticion,B,1747849,TP,gabi reenvia la apertura despues de que el usuario respondio
loop_repeticion,B,1705150,TP,gabi pide el area tres veces
loop_repeticion,B,1707802,TP,mensaje de apertura enviado dos veces
loop_repeticion,B,1764378,TP,mensaje de apertura enviado dos veces
loop_repeticion,B,1709118,TP,gabi reenvia la apertura tras la respuesta del usuario
loop_repeticion,B,1742489,TP,mensaje de apertura enviado dos veces
loop_repeticion,B,1705736,TP,gabi insiste por un dato que el usuario dijo no tener
loop_repeticion,B,1760235,TP,gabi reenvia la apertura tras la respuesta del usuario
media_no_manejado,B,1712565,TP,ubicacion compartida sin acuse
media_no_manejado,B,1710180,FP,gabi explico que necesita la direccion en texto
media_no_manejado,B,1718465,TP,ubicacion compartida y solo recibe nudge
media_no_manejado,B,1751102,TP,ubicacion ignorada; gabi sigue pidiendo estado y cp
media_no_manejado,B,1705720,TP,ubicacion ignorada; el usuario tuvo que escribirla
media_no_manejado,B,1748477,FP,gabi explico que no procesa links de maps
